node_1|node_2|edge|chunk_id
prompt engineering interactive tutorial answer key|no calls to claude|The document is static and does not include live calls to the AI model Claude.|78240ea9dc694338876d7e9caa52585e
depth prompt engineering|additional resources|Depth Prompt Engineering provides extra materials to learn more about prompt engineering with Claude.|78240ea9dc694338876d7e9caa52585e
claude prompt engineering techniques presentation|100 slides|The presentation contains around 100 slides with techniques for Claude prompt engineering.|78240ea9dc694338876d7e9caa52585e
claude prompt engineering techniques presentation|beginning to advanced techniques|The presentation includes techniques ranging from beginner to advanced levels for prompting with Claude.|78240ea9dc694338876d7e9caa52585e
claude prompt engineering techniques presentation|troubleshooting techniques|The presentation provides techniques for troubleshooting issues such as hallucinations when using Claude.|78240ea9dc694338876d7e9caa52585e
claude prompt engineering techniques presentation|prompt engineering examples|The presentation gives direct examples of prompt engineering in practice.|78240ea9dc694338876d7e9caa52585e
bedrock users|bedrock prompt engineering deck|Bedrock Users are recommended to check out a specialized prompt engineering deck tailored for Bedrock.|78240ea9dc694338876d7e9caa52585e
prompt engineering documentation|user guide|The documentation serves as a user guide with various tips and tricks.|78240ea9dc694338876d7e9caa52585e
prompt engineering documentation|troubleshooting|The documentation includes advice on troubleshooting when working with Claude.|78240ea9dc694338876d7e9caa52585e
prompt engineering documentation|prompt formatting|The documentation offers insights on how to format prompts effectively.|78240ea9dc694338876d7e9caa52585e
prompt engineering documentation|access and talk to claude|The documentation gives information on how to access Claude and communicate with it.|78240ea9dc694338876d7e9caa52585e
configuring gpt prompts for claude|guide|There is a guide on adapting GPT model prompts for optimal use with Claude.|78240ea9dc694338876d7e9caa52585e
introduction to prompt design|claude prompt engineering techniques presentation|The introduction to prompt design is likely a part of the Claude Prompt Engineering Techniques Presentation materials.|78240ea9dc694338876d7e9caa52585e
guide|prompt design for gpt models|provides information on|adce6d708ab649529d4e87c491d49d7e
prompt design for gpt models|claude|is tailored for|adce6d708ab649529d4e87c491d49d7e
guide|prompt engineering techniques presentation|is more basic than|adce6d708ab649529d4e87c491d49d7e
guide|in-line examples|contains|adce6d708ab649529d4e87c491d49d7e
constructing a prompt|intermediate techniques|provides an overview of|adce6d708ab649529d4e87c491d49d7e
constructing a prompt|in-line examples|features|adce6d708ab649529d4e87c491d49d7e
optimizing your prompt|iterating|involves|adce6d708ab649529d4e87c491d49d7e
optimizing your prompt|evaluating prompts|involves|adce6d708ab649529d4e87c491d49d7e
examples & code|example prompts & templates|includes|adce6d708ab649529d4e87c491d49d7e
example prompts (using claude for sheets)|prompt workbook|is contained in|adce6d708ab649529d4e87c491d49d7e
prompt workbook|starting example prompts|contains|adce6d708ab649529d4e87c491d49d7e
starting example prompts|use-cases|are based on|adce6d708ab649529d4e87c491d49d7e
starting example prompts|prompt engineering techniques|provides guidance on|adce6d708ab649529d4e87c491d49d7e
simple q&a|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
information extraction|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
removing pii|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
content generation|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
multiple choice classification|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
dialogue agents and roleplay|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
summarization|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
advanced q&a on long documents|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
function calling / tool use|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
prompt chains|tasks|is a type of|adce6d708ab649529d4e87c491d49d7e
dialogue agents|roleplay|Dialogue agents may engage in roleplay to simulate conversations.|696430b803cd4f46b6edbd6d78b3925d
summarization|long documents|Summarization is a process applied to long documents to extract the main points.|696430b803cd4f46b6edbd6d78b3925d
advanced q&a|long documents|Advanced Q&A is a function performed on long documents to provide detailed answers.|696430b803cd4f46b6edbd6d78b3925d
function calling|tool use|Function calling is related to the use of tools, as specific functions within a tool may be invoked.|696430b803cd4f46b6edbd6d78b3925d
prompt chains|claude for sheets add-on|Prompt chains may utilize the Claude for Sheets add-on for various tasks.|696430b803cd4f46b6edbd6d78b3925d
harmlessness screens|prompt injections|Harmlessness screens are designed to detect prompt injections.|696430b803cd4f46b6edbd6d78b3925d
prompt misuse|harmlessness screens|Harmlessness screens are also used to prevent prompt misuse.|696430b803cd4f46b6edbd6d78b3925d
claude|resilient|Claude is described as resilient to prompt injections and bad user behavior.|696430b803cd4f46b6edbd6d78b3925d
prompt engineering cookbook|claude|The Prompt Engineering Cookbook provides recipes for using Claude in various ways.|696430b803cd4f46b6edbd6d78b3925d
jupyter notebooks|recipes|Jupyter notebooks contain recipes for completing tasks with Claude.|696430b803cd4f46b6edbd6d78b3925d
retrieval augmented generation (rag) demo|knowledge bases|The RAG Demo demonstrates Claude’s capabilities over different knowledge bases.|696430b803cd4f46b6edbd6d78b3925d
anthropic python sdk|rag demo|The Anthropic Python SDK is used in the RAG demo to facilitate Search and Retrieval capabilities.|696430b803cd4f46b6edbd6d78b3925d
elasticsearch|vector databases|The RAG Demo uses both Elasticsearch and vector databases as types of knowledge bases.|696430b803cd4f46b6edbd6d78b3925d
web search|wikipedia|The RAG Demo includes capabilities to search through the web and Wikipedia.|696430b803cd4f46b6edbd6d78b3925d
api key|claude for sheets add-on|An API key is required to use the Claude for Sheets add-on.|696430b803cd4f46b6edbd6d78b3925d
function calling|tool use repo|The Tool Use Repo is a repository for housing a lightweight demo related to Function Calling with Anthropic models.|c5ccb997d4484360b1ba2d86b9050981
anthropic|general anthropic sdks|Anthropic offers General Anthropic SDKs for interfacing with its models.|c5ccb997d4484360b1ba2d86b9050981
python|sdk|Python is a programming language for which an SDK (Software Development Kit) is offered by Anthropic.|c5ccb997d4484360b1ba2d86b9050981
typescript|sdk|Typescript is a programming language for which an SDK (Software Development Kit) is offered by Anthropic.|c5ccb997d4484360b1ba2d86b9050981
anthropic bedrock|python sdk|Anthropic Bedrock provides a Python SDK specialized for its platform.|c5ccb997d4484360b1ba2d86b9050981
anthropic bedrock|typescript sdk|Anthropic Bedrock provides a Typescript SDK specialized for its platform.|c5ccb997d4484360b1ba2d86b9050981
claude for sheets|google sheets|Claude for Sheets is a tool that allows users to call Claude as a function within Google Sheets using an API key.|c5ccb997d4484360b1ba2d86b9050981
api key|google sheets|An API key is required to utilize Claude for Sheets within Google Sheets.|c5ccb997d4484360b1ba2d86b9050981
claude for sheets|claude for google sheets guide|The Claude for Google Sheets guide provides instructions on how to use Claude for Sheets.|c5ccb997d4484360b1ba2d86b9050981
workbook templates|claude for sheets|Workbook Templates are provided as part of Claude for Sheets, containing prompt engineering and testing templates.|c5ccb997d4484360b1ba2d86b9050981
prompt engineering support checklist|anthropic|The Prompt Engineering Support Checklist is a guide provided by Anthropic to prepare for a prompt engineering support session.|c5ccb997d4484360b1ba2d86b9050981
prompt engineering tutorial|getting started|The Prompt Engineering Tutorial is a resource listed under the Getting Started section.|8a2b5427d11c4d338c9268ce8e4d7980
in depth prompt engineering|getting started|The In Depth Prompt Engineering is a topic detailed under the Getting Started section.|8a2b5427d11c4d338c9268ce8e4d7980
claude prompt engineering techniques presentation|getting started|The Claude Prompt Engineering Techniques Presentation is included in the Getting Started section.|8a2b5427d11c4d338c9268ce8e4d7980
prompt engineering documentation|getting started|The Prompt Engineering Documentation is provided in the Getting Started section.|8a2b5427d11c4d338c9268ce8e4d7980
example prompts & templates|examples & code|Example Prompts & Templates are provided under the Examples & Code section.|8a2b5427d11c4d338c9268ce8e4d7980
example code & demos|examples & code|Example Code & Demos are available in the Examples & Code section.|8a2b5427d11c4d338c9268ce8e4d7980
general anthropic sdks|sdks|General Anthropic SDKs are a type of software development kit discussed under the SDKs section.|8a2b5427d11c4d338c9268ce8e4d7980
claude on bedrock sdks|sdks|Claude on Bedrock SDKs are specialized software development kits featured in the SDKs section.|8a2b5427d11c4d338c9268ce8e4d7980
claude for sheets|other useful resources|Claude for Sheets is listed as part of the Other Useful Resources.|8a2b5427d11c4d338c9268ce8e4d7980
prompt engineering support checklist|other useful resources|Prompt Engineering Support Checklist is an item included in the Other Useful Resources section.|8a2b5427d11c4d338c9268ce8e4d7980
anthropic|foundation models|Anthropic is related to Foundation models as it provides models as a service|ab7f5275695f4fdb8c5e98673a18d4ef
api|console|The API is accessible via the Console, which is a web interface|ab7f5275695f4fdb8c5e98673a18d4ef
claude|anthropic|Claude is a feature or a product provided by Anthropic|ab7f5275695f4fdb8c5e98673a18d4ef
api keys|account settings|API keys can be generated through Account Settings in the Console|ab7f5275695f4fdb8c5e98673a18d4ef
getting started|api access|Getting started involves a guide on how to access the API|ab7f5275695f4fdb8c5e98673a18d4ef
completions|api|Completions is a function or feature of the API|ab7f5275695f4fdb8c5e98673a18d4ef
completionpost|completions|Create a completionpost is an activity within the Completions category in the API|ab7f5275695f4fdb8c5e98673a18d4ef
ip address allowlisting|anthropic|Anthropic's public IP ranges information is available under IP address allowlisting|ab7f5275695f4fdb8c5e98673a18d4ef
versioning|api|Versioning is a feature or characteristic of the API indicating how versions are managed|ab7f5275695f4fdb8c5e98673a18d4ef
errors and rate limits|api|Errors and rate limits describe the restrictions and error management in the API|ab7f5275695f4fdb8c5e98673a18d4ef
prompt validation|api|Prompt validation is a process or procedure within the API usage|ab7f5275695f4fdb8c5e98673a18d4ef
client sdks|api|Client SDKs are tools provided for the API integration and use|ab7f5275695f4fdb8c5e98673a18d4ef
selecting a model|api|Selecting a model is a step in utilizing the API more effectively|ab7f5275695f4fdb8c5e98673a18d4ef
streaming|api|Streaming is a functionality or feature available in the API|ab7f5275695f4fdb8c5e98673a18d4ef
supported regions|api|Supported regions indicate where the API services can be accessed geographically|ab7f5275695f4fdb8c5e98673a18d4ef
getting access to claude|api|Getting access to Claude is a preliminary step mentioned in the API's getting started guide|ab7f5275695f4fdb8c5e98673a18d4ef
ip address allowlisting|anthropic|IP Address Allowlisting provides information on the public IP ranges of Anthropic.|9e587e60b11149f2a0ca299955988b50
claude api|evaluation terms|Initial access to the Claude API is granted under evaluation terms.|9e587e60b11149f2a0ca299955988b50
evaluation terms|evaluation and development purposes|Evaluation terms are intended for evaluation and development purposes only.|9e587e60b11149f2a0ca299955988b50
privacy policy|data retention|The privacy policy details how data may be retained during the evaluation of Claude API.|9e587e60b11149f2a0ca299955988b50
go live|commercial services agreement|After evaluating Claude, users can Go Live by engaging in a commercial services agreement.|9e587e60b11149f2a0ca299955988b50
production environment|claude|Users can use Claude in their production environment after going live.|9e587e60b11149f2a0ca299955988b50
production environment|higher rate limits|Engaging in a commercial services agreement grants access to higher rate limits in the production environment.|9e587e60b11149f2a0ca299955988b50
prompt formatting|api usage|Special prompt formatting is required when using the Claude API.|9e587e60b11149f2a0ca299955988b50
prompt formatting|slack and web interface|Slack and the web interface handle direct questions without needing special prompt formatting.|9e587e60b11149f2a0ca299955988b50
api|newlines and space in prompts|The API requires prompts to be formatted with 2 newlines and a space after each colon.|9e587e60b11149f2a0ca299955988b50
typescript|code example|TypeScript is given as a programming language for the code example on prompt formatting.|9e587e60b11149f2a0ca299955988b50
send prompt|claude via api|The TypeScript code example illustrates sending a prompt to Claude via the API.|9e587e60b11149f2a0ca299955988b50
accessing the api|table of contents|Accessing the API is a section listed in the Table of Contents.|9e587e60b11149f2a0ca299955988b50
evaluation & going live with the api|table of contents|Evaluation & going live with the API is a section listed in the Table of Contents.|9e587e60b11149f2a0ca299955988b50
prompt formatting|table of contents|Prompt formatting is a section listed in the Table of Contents.|9e587e60b11149f2a0ca299955988b50
anthropic|foundation models|Anthropic provides resources related to foundation models|3dffd60f7a9842a3977e79cc8e3c958a
anthropic|claude|Anthropic offers access to Claude, a tool within its prompt engineering resources|3dffd60f7a9842a3977e79cc8e3c958a
claude|prompt engineering|Claude is a tool used for prompt engineering according to the guide provided by Anthropic|3dffd60f7a9842a3977e79cc8e3c958a
claude|google sheets|Claude can be integrated with Google Sheets|3dffd60f7a9842a3977e79cc8e3c958a
prompt design|prompt construction|Prompt Design includes guidelines on constructing a prompt|3dffd60f7a9842a3977e79cc8e3c958a
prompt design|prompt optimization|Prompt Design involves optimizing your prompt|3dffd60f7a9842a3977e79cc8e3c958a
useful hacks|preventing hallucinations|Useful Hacks includes strategies such as letting Claude say 'I don't know' to prevent hallucinations|3dffd60f7a9842a3977e79cc8e3c958a
useful hacks|prompt chaining|Prompt Chaining is listed as one of the Useful Hacks for working with Claude|3dffd60f7a9842a3977e79cc8e3c958a
use cases|content generation|One of the use cases for Claude is Content Generation|3dffd60f7a9842a3977e79cc8e3c958a
use cases|content moderation|Content Moderation is listed as a practical application for Claude's capabilities|3dffd60f7a9842a3977e79cc8e3c958a
troubleshooting|checklist|Troubleshooting provides a checklist to resolve common issues with Claude|3dffd60f7a9842a3977e79cc8e3c958a
claude|amazon bedrock|Claude is available on Amazon Bedrock|3dffd60f7a9842a3977e79cc8e3c958a
claude|hallucinating|Claude is subject to hallucinating|a7b35e01dcaf4e27ae550e0b5552d712
guide|anthropic's prompt engineering resources|The guide refers to Anthropic's prompt engineering resources|a7b35e01dcaf4e27ae550e0b5552d712
anthrowpic|claude|Anthropic provides educational resources for prompt engineering with Claude|a7b35e01dcaf4e27ae550e0b5552d712
prompt engineering tutorial|claude|The tutorial teaches prompting techniques for Claude|a7b35e01dcaf4e27ae550e0b5552d712
prompt engineering interactive tutorial|api key|The interactive tutorial requires an API key|a7b35e01dcaf4e27ae550e0b5552d712
google drive|prompt engineering interactive tutorial|Users need to save a copy of the tutorial to their Google Drive|a7b35e01dcaf4e27ae550e0b5552d712
claude for sheets extension|prompt engineering interactive tutorial|Users need to download the Claude for Sheets extension to use the tutorial|a7b35e01dcaf4e27ae550e0b5552d712
api key|claude|Users need to add their API key to call Claude in the tutorial|a7b35e01dcaf4e27ae550e0b5552d712
exercise solutions|claude.ai|Users can try out exercise solutions within Claude.ai|a7b35e01dcaf4e27ae550e0b5552d712
prompt engineering interactive tutorial|answer key|The answer key is for the prompt engineering interactive tutorial.|24843c744b954a809d0bddc9ecf156ab
prompt engineering interactive tutorial|claude|The interactive tutorial is related to the AI model Claude.|24843c744b954a809d0bddc9ecf156ab
in depth prompt engineering|additional resources|Additional resources are provided for in-depth understanding of prompt engineering with Claude.|24843c744b954a809d0bddc9ecf156ab
claude prompt engineering techniques presentation|slides|The presentation features approximately 100 slides about prompt engineering techniques with Claude.|24843c744b954a809d0bddc9ecf156ab
bedrock users|bedrock prompt engineering deck|Bedrock users are recommended to check out a specific prompt engineering deck tailored for Bedrock.|24843c744b954a809d0bddc9ecf156ab
prompt engineering documentation|user guide|The user guide includes prompt engineering documentation with tips, tricks, and troubleshooting.|24843c744b954a809d0bddc9ecf156ab
prompt engineering documentation|claude|The documentation includes ways to access and communicate with the AI model Claude.|24843c744b954a809d0bddc9ecf156ab
gpt prompts|claude|There is a guide on configuring GPT prompts specifically for Claude.|24843c744b954a809d0bddc9ecf156ab
introduction|prompt design|The introduction is related to the concept of prompt design.|24843c744b954a809d0bddc9ecf156ab
guide|prompt design|provides information on|85f3d01ef2ac4de3b71e40f76a9fc15f
gpt models|claude|context of optimization for|85f3d01ef2ac4de3b71e40f76a9fc15f
prompt engineering techniques presentation|comprehensive information|contains|85f3d01ef2ac4de3b71e40f76a9fc15f
prompt engineering techniques presentation|in-line examples|lacks compared to the guide|85f3d01ef2ac4de3b71e40f76a9fc15f
prompt construction|intermediate techniques|discusses|85f3d01ef2ac4de3b71e40f76a9fc15f
prompt construction|in-line examples|features|85f3d01ef2ac4de3b71e40f76a9fc15f
optimizing your prompt|iterating|relates to process of|85f3d01ef2ac4de3b71e40f76a9fc15f
optimizing your prompt|evaluating prompts|relates to process of|85f3d01ef2ac4de3b71e40f76a9fc15f
examples & code|example prompts & templates|section includes|85f3d01ef2ac4de3b71e40f76a9fc15f
example prompts|claude for sheets|uses|85f3d01ef2ac4de3b71e40f76a9fc15f
prompt workbook|starting example prompts|filled with|85f3d01ef2ac4de3b71e40f76a9fc15f
use-case|specific tab|organized per|85f3d01ef2ac4de3b71e40f76a9fc15f
prompt engineering techniques|guidance|provides|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|simple q&a|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|information extraction|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|removing pii|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|content generation|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|multiple choice classification|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|dialogue agents and roleplay|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|summarization|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|advanced q&a on long documents|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|function calling / tool use|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
tasks|prompt chains|includes|85f3d01ef2ac4de3b71e40f76a9fc15f
dialogue agents|roleplay|Dialogue agents are utilized in roleplaying scenarios.|8847c85a44a7473fb097bfb0e27adc27
advanced q&a|long documents|Advanced Q&A systems are designed to work with long documents.|8847c85a44a7473fb097bfb0e27adc27
function calling|tool use|Function calling is a type of tool use within software applications.|8847c85a44a7473fb097bfb0e27adc27
prompt chains|interactive version|Prompt chains may be used in interactive versions of applications.|8847c85a44a7473fb097bfb0e27adc27
copy|interactive version|A copy needs to be made to interact with and edit the interactive version.|8847c85a44a7473fb097bfb0e27adc27
claude for sheets add-on|api key|The Claude for Sheets add-on requires an API key for operation.|8847c85a44a7473fb097bfb0e27adc27
harmlessness screens|prompt injections|Harmlessness screens are designed to catch prompt injections.|8847c85a44a7473fb097bfb0e27adc27
harmlessness screens|prompt misuse|Harmlessness screens are also used to prevent prompt misuse.|8847c85a44a7473fb097bfb0e27adc27
claude|prompt injections|Claude is resistant to prompt injections.|8847c85a44a7473fb097bfb0e27adc27
prompt engineering cookbook|jupyter notebooks|The Prompt Engineering Cookbook contains Jupyter notebooks with recipes using Claude.|8847c85a44a7473fb097bfb0e27adc27
long context: q&a|prompt engineering cookbook|Long Context: Q&A is a recipe included in the Prompt Engineering Cookbook.|8847c85a44a7473fb097bfb0e27adc27
long context: wikipedia search|prompt engineering cookbook|Long Context: Wikipedia Search is a recipe included in the Prompt Engineering Cookbook.|8847c85a44a7473fb097bfb0e27adc27
long context: pdf 'upload' and summarization|prompt engineering cookbook|Long Context: PDF 'Upload' and Summarization is a recipe found in the Prompt Engineering Cookbook.|8847c85a44a7473fb097bfb0e27adc27
retrieval augmented generation (rag) demo|anthropic python sdk|The Retrieval Augmented Generation Demo uses the Anthropic Python SDK.|8847c85a44a7473fb097bfb0e27adc27
retrieval augmented generation (rag) demo|claude's search and retrieval capabilities|The RAG Demo showcases Claude's Search and Retrieval capabilities.|8847c85a44a7473fb097bfb0e27adc27
knowledge bases|elasticsearch|Knowledge bases for Claude's Search and Retrieval capabilities include Elasticsearch.|8847c85a44a7473fb097bfb0e27adc27
knowledge bases|vector databases|Knowledge bases for Claude's Search and Retrieval capabilities include vector databases.|8847c85a44a7473fb097bfb0e27adc27
knowledge bases|web search|Knowledge bases for Claude's Search and Retrieval capabilities include web search.|8847c85a44a7473fb097bfb0e27adc27
knowledge bases|wikipedia|Wikipedia is one of the knowledge bases used in Claude's Search and Retrieval capabilities.|8847c85a44a7473fb097bfb0e27adc27
function calling / tool use repo|software applications|The Function Calling / Tool Use Repo is a repository for software applications.|8847c85a44a7473fb097bfb0e27adc27
function calling / tool use repo|anthropic models|houses the demo for using with|26df853fcb054b368cb1385bbb37bde9
general anthropic sdks|python sdk|includes a version for|26df853fcb054b368cb1385bbb37bde9
general anthropic sdks|typescript sdk|includes a version for|26df853fcb054b368cb1385bbb37bde9
claude on bedrock sdks|python sdk|includes a version for Anthropic Bedrock|26df853fcb054b368cb1385bbb37bde9
claude on bedrock sdks|typescript sdk|includes a version for Anthropic Bedrock|26df853fcb054b368cb1385bbb37bde9
claude for sheets|api key|requires to call Claude on Google Sheets|26df853fcb054b368cb1385bbb37bde9
claude for sheets|claude for google sheets guide|is used according to|26df853fcb054b368cb1385bbb37bde9
claude for sheets|google sheets function|can be called as|26df853fcb054b368cb1385bbb37bde9
claude for sheets workbook templates|basic prompt engineering|provides templates for|26df853fcb054b368cb1385bbb37bde9
claude for sheets workbook templates|testing templates|includes a variety of|26df853fcb054b368cb1385bbb37bde9
claude for sheets workbook templates|single and multi-input testing|covers|26df853fcb054b368cb1385bbb37bde9
claude for sheets workbook templates|single- document q&a|covers|26df853fcb054b368cb1385bbb37bde9
prompt engineering support checklist|anthropic|provides guidance for prompt engineering support from|26df853fcb054b368cb1385bbb37bde9
prompt engineering support checklist|prompt engineering support session|should be brought to|26df853fcb054b368cb1385bbb37bde9
getting started|prompt engineering tutorial|The 'Getting Started' section typically precedes and introduces 'Prompt Engineering Tutorial'|a6c2f461bd5a4275af4212d71e3eea4e
prompt engineering tutorial|in-depth prompt engineering|'Prompt Engineering Tutorial' is likely a prerequisite or introductory material for 'In-Depth Prompt Engineering'|a6c2f461bd5a4275af4212d71e3eea4e
in-depth prompt engineering|claude prompt engineering techniques presentation|'In-Depth Prompt Engineering' might be elaborated further in 'Claude Prompt Engineering Techniques Presentation'|a6c2f461bd5a4275af4212d71e3eea4e
claude prompt engineering techniques presentation|prompt engineering documentation|'Claude Prompt Engineering Techniques Presentation' may be supplemented by 'Prompt Engineering Documentation'|a6c2f461bd5a4275af4212d71e3eea4e
prompt engineering tutorial|examples & code|'Prompt Engineering Tutorial' might provide the theoretical foundation which is applied in 'Examples & Code'|a6c2f461bd5a4275af4212d71e3eea4e
examples & code|example prompts & templates|'Examples & Code' section likely includes 'Example Prompts & Templates'|a6c2f461bd5a4275af4212d71e3eea4e
examples & code|example code & demos|'Examples & Code' section likely contains 'Example Code & Demos'|a6c2f461bd5a4275af4212d71e3eea4e
sdks|general anthropic sdks|'SDKs' section probably introduces or lists 'General Anthropic SDKs'|a6c2f461bd5a4275af4212d71e3eea4e
sdks|claude on bedrock sdks|'SDKs' section probably includes details about 'Claude on Bedrock SDKs'|a6c2f461bd5a4275af4212d71e3eea4e
other useful resources|claude for sheets|'Other Useful Resources' might provide additional tools like 'Claude for Sheets' for users|a6c2f461bd5a4275af4212d71e3eea4e
other useful resources|prompt engineering support checklist|'Other Useful Resources' might include helpful documents like 'Prompt Engineering Support Checklist'|a6c2f461bd5a4275af4212d71e3eea4e
anthropic|foundation models|is the creator or is associated with Foundation models|3b291996d3f74060959580110356a7b6
claude|anthropic|is a product or resource offered by Anthropic|3b291996d3f74060959580110356a7b6
claude|prompt engineering resources|is the topic for which Anthropic provides resources|3b291996d3f74060959580110356a7b6
claude|google sheets|is compatible with or can be used in conjunction with Google Sheets|3b291996d3f74060959580110356a7b6
prompt design|prompt|is the process of creating a prompt|3b291996d3f74060959580110356a7b6
prompt design|optimizing your prompt|is a part of the process of improving the performance of a prompt|3b291996d3f74060959580110356a7b6
claude|hallucinations|can experience hallucinations, which users are advised on how to prevent|3b291996d3f74060959580110356a7b6
content generation|use cases|is one of the applications or use cases for Claude|3b291996d3f74060959580110356a7b6
text processing|use cases|is another application or use case for Claude|3b291996d3f74060959580110356a7b6
claude|amazon bedrock|is available on or compatible with Amazon Bedrock|3b291996d3f74060959580110356a7b6
text processing tasks|claude|can be performed by Claude|3b291996d3f74060959580110356a7b6
text processing tasks|summarization|includes tasks such as Summarization|3b291996d3f74060959580110356a7b6
text processing tasks|editing and rewriting|includes tasks such as Editing and rewriting|3b291996d3f74060959580110356a7b6
text processing tasks|sentiment recognition|includes tasks such as Sentiment recognition|3b291996d3f74060959580110356a7b6
text processing tasks|information extraction and removal|includes tasks such as Information extraction and removal|3b291996d3f74060959580110356a7b6
summarization|editing and rewriting|Summarization is a process that can involve editing and rewriting to condense text.|a45472c8777349aab66fec52d1c1a7ef
summarization|sentiment recognition|Summarization may utilize sentiment recognition to understand the tone of the text.|a45472c8777349aab66fec52d1c1a7ef
summarization|information extraction and removal|Summarization can include the process of information extraction and removal to focus on key points.|a45472c8777349aab66fec52d1c1a7ef
summarization|translation|Summarization may be required after translation to reduce the length of text.|a45472c8777349aab66fec52d1c1a7ef
information extraction and removal|email address extraction|Information extraction and removal encompasses tasks such as Email Address Extraction.|a45472c8777349aab66fec52d1c1a7ef
email address extraction|explicit instructions|Email Address Extraction uses explicit instructions to guide the extraction process.|a45472c8777349aab66fec52d1c1a7ef
explicit instructions|reduction of chattiness|Explicit instructions can be used to reduce chattiness in automated responses.|a45472c8777349aab66fec52d1c1a7ef
